BioSample_s	Experiment_s	MBases_l	MBytes_l	Run_s	SRA_Sample_s	Sample_Name_s	cultivar_s	genotype_s	source_name_s	tissue_s	Assay_Type_s	AvgSpotLen_l	BioProject_s	Center_Name_s	Consent_s	InsertSize_l	Instrument_s	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	LoadDate_s	Organism_s	Platform_s	ReleaseDate_s	SRA_Study_s
SAMN03081639	SRX711048	847	590	SRR1586772	SRS709793	GSM1514562	B73_TIL05	F1 cross	leaf tissue from cross B73_TIL05,biological replicate 1	leaf	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081638	SRX711047	944	711	SRR1586771	SRS709794	GSM1514561	B73_TIL03	F1 cross	leaf tissue from cross B73_TIL03,biological replicate 1	leaf	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081640	SRX711049	637	434	SRR1586773	SRS709795	GSM1514563	B73_TIL05	F1 cross	leaf tissue from cross B73_TIL05,biological replicate 1	leaf	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081641	SRX711050	1091	739	SRR1586774	SRS709796	GSM1514564	B73_TIL05	F1 cross	leaf tissue from cross B73_TIL05,biological replicate 2	leaf	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081642	SRX711051	1099	744	SRR1586775	SRS709797	GSM1514565	B73_TIL05	F1 cross	leaf tissue from cross B73_TIL05,biological replicate 2	leaf	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081643	SRX711052	1058	763	SRR1586776	SRS709798	GSM1514566	B73_TIL09	F1 cross	leaf tissue from cross B73_TIL09,biological replicate 1	leaf	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081644	SRX711053	919	691	SRR1586777	SRS709799	GSM1514567	B73_TIL09	F1 cross	leaf tissue from cross B73_TIL09,biological replicate 1	leaf	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081645	SRX711054	994	717	SRR1586778	SRS709800	GSM1514568	B73_TIL09	F1 cross	leaf tissue from cross B73_TIL09,biological replicate 2	leaf	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081646	SRX711055	929	642	SRR1586779	SRS709801	GSM1514569	B73_TIL09	F1 cross	leaf tissue from cross B73_TIL09,biological replicate 2	leaf	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081647	SRX711056	1060	755	SRR1586780	SRS709802	GSM1514570	B73_TIL11	F1 cross	leaf tissue from cross B73_TIL11,biological replicate 1	leaf	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081650	SRX711059	1143	769	SRR1586783	SRS709803	GSM1514573	B73_TIL11	F1 cross	leaf tissue from cross B73_TIL11,biological replicate 2	leaf	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081648	SRX711057	917	626	SRR1586781	SRS709804	GSM1514571	B73_TIL11	F1 cross	leaf tissue from cross B73_TIL11,biological replicate 1	leaf	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081649	SRX711058	1138	766	SRR1586782	SRS709805	GSM1514572	B73_TIL11	F1 cross	leaf tissue from cross B73_TIL11,biological replicate 2	leaf	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081651	SRX711060	980	706	SRR1586784	SRS709806	GSM1514574	B73_TIL14	F1 cross	leaf tissue from cross B73_TIL14,biological replicate 1	leaf	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081652	SRX711061	903	623	SRR1586785	SRS709807	GSM1514575	B73_TIL14	F1 cross	leaf tissue from cross B73_TIL14,biological replicate 1	leaf	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081653	SRX711062	883	634	SRR1586786	SRS709808	GSM1514576	B73_TIL14	F1 cross	leaf tissue from cross B73_TIL14,biological replicate 2	leaf	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081656	SRX711065	1111	757	SRR1586789	SRS709809	GSM1514579	B73_TIL25	F1 cross	leaf tissue from cross B73_TIL25,biological replicate 1	leaf	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081655	SRX711064	1109	756	SRR1586788	SRS709810	GSM1514578	B73_TIL25	F1 cross	leaf tissue from cross B73_TIL25,biological replicate 1	leaf	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081657	SRX711066	1138	819	SRR1586790	SRS709811	GSM1514580	B73_TIL25	F1 cross	leaf tissue from cross B73_TIL25,biological replicate 2	leaf	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081658	SRX711067	1031	777	SRR1586791	SRS709812	GSM1514581	B73_TIL25	F1 cross	leaf tissue from cross B73_TIL25,biological replicate 2	leaf	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081659	SRX711068	1192	826	SRR1586792	SRS709813	GSM1514582	B73_TIL25	F1 cross	leaf tissue from cross B73_TIL25,biological replicate 3	leaf	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081660	SRX711069	925	628	SRR1586793	SRS709814	GSM1514583	B73_TIL25	F1 cross	leaf tissue from cross B73_TIL25,biological replicate 3	leaf	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081654	SRX711063	664	499	SRR1586787	SRS709815	GSM1514577	B73_TIL14	F1 cross	leaf tissue from cross B73_TIL14,biological replicate 2	leaf	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081663	SRX711071	1065	802	SRR1586795	SRS709816	GSM1514585	CML103_TIL03	F1 cross	leaf tissue from cross CML103_TIL03,biological replicate 1	leaf	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081661	SRX711070	1180	851	SRR1586794	SRS709817	GSM1514584	CML103_TIL03	F1 cross	leaf tissue from cross CML103_TIL03,biological replicate 1	leaf	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081665	SRX711072	987	711	SRR1586796	SRS709818	GSM1514586	CML103_TIL03	F1 cross	leaf tissue from cross CML103_TIL03,biological replicate 2	leaf	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081872	SRX711073	927	640	SRR1586797	SRS709819	GSM1514587	CML103_TIL03	F1 cross	leaf tissue from cross CML103_TIL03,biological replicate 2	leaf	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081873	SRX711074	955	661	SRR1586798	SRS709820	GSM1514588	CML103_TIL11	F1 cross	leaf tissue from cross CML103_TIL11,biological replicate 1	leaf	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081874	SRX711075	956	661	SRR1586799	SRS709821	GSM1514589	CML103_TIL11	F1 cross	leaf tissue from cross CML103_TIL11,biological replicate 1	leaf	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081875	SRX711076	984	684	SRR1586800	SRS709822	GSM1514590	CML103_TIL11	F1 cross	leaf tissue from cross CML103_TIL11,biological replicate 2	leaf	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081877	SRX711078	1226	827	SRR1586802	SRS709823	GSM1514592	CML103_TIL14	F1 cross	leaf tissue from cross CML103_TIL14,biological replicate 1	leaf	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081876	SRX711077	791	540	SRR1586801	SRS709824	GSM1514591	CML103_TIL11	F1 cross	leaf tissue from cross CML103_TIL11,biological replicate 2	leaf	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081879	SRX711080	1131	783	SRR1586804	SRS709825	GSM1514594	CML103_TIL14	F1 cross	leaf tissue from cross CML103_TIL14,biological replicate 2	leaf	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081878	SRX711079	1231	831	SRR1586803	SRS709826	GSM1514593	CML103_TIL14	F1 cross	leaf tissue from cross CML103_TIL14,biological replicate 1	leaf	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081880	SRX711081	862	585	SRR1586805	SRS709827	GSM1514595	CML103_TIL14	F1 cross	leaf tissue from cross CML103_TIL14,biological replicate 2	leaf	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081881	SRX711082	1115	753	SRR1586806	SRS709828	GSM1514596	CML103_TIL25	F1 cross	leaf tissue from cross CML103_TIL25,biological replicate 1	leaf	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081882	SRX711083	1121	757	SRR1586807	SRS709829	GSM1514597	CML103_TIL25	F1 cross	leaf tissue from cross CML103_TIL25,biological replicate 1	leaf	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081883	SRX711084	942	674	SRR1586808	SRS709830	GSM1514598	CML103_TIL25	F1 cross	leaf tissue from cross CML103_TIL25,biological replicate 2	leaf	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081884	SRX711085	808	554	SRR1586809	SRS709831	GSM1514599	CML103_TIL25	F1 cross	leaf tissue from cross CML103_TIL25,biological replicate 2	leaf	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081885	SRX711086	1161	833	SRR1586810	SRS709832	GSM1514600	Ki3_TIL03	F1 cross	leaf tissue from cross Ki3_TIL03,biological replicate 1	leaf	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081886	SRX711087	1005	755	SRR1586811	SRS709833	GSM1514601	Ki3_TIL03	F1 cross	leaf tissue from cross Ki3_TIL03,biological replicate 1	leaf	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081887	SRX711088	913	656	SRR1586812	SRS709834	GSM1514602	Ki3_TIL03	F1 cross	leaf tissue from cross Ki3_TIL03,biological replicate 2	leaf	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081888	SRX711089	882	608	SRR1586813	SRS709835	GSM1514603	Ki3_TIL03	F1 cross	leaf tissue from cross Ki3_TIL03,biological replicate 2	leaf	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081890	SRX711091	962	663	SRR1586815	SRS709836	GSM1514605	Ki3_TIL09	F1 cross	leaf tissue from cross Ki3_TIL09,biological replicate 1	leaf	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081889	SRX711090	1039	747	SRR1586814	SRS709837	GSM1514604	Ki3_TIL09	F1 cross	leaf tissue from cross Ki3_TIL09,biological replicate 1	leaf	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081891	SRX711092	902	642	SRR1586816	SRS709838	GSM1514606	Ki3_TIL09	F1 cross	leaf tissue from cross Ki3_TIL09,biological replicate 2	leaf	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081892	SRX711093	769	524	SRR1586817	SRS709839	GSM1514607	Ki3_TIL09	F1 cross	leaf tissue from cross Ki3_TIL09,biological replicate 2	leaf	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081893	SRX711094	1024	698	SRR1586818	SRS709840	GSM1514608	Ki3_TIL11	F1 cross	leaf tissue from cross Ki3_TIL11,biological replicate 1	leaf	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081894	SRX711095	1027	699	SRR1586819	SRS709841	GSM1514609	Ki3_TIL11	F1 cross	leaf tissue from cross Ki3_TIL11,biological replicate 1	leaf	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081896	SRX711097	942	642	SRR1586821	SRS709842	GSM1514611	Ki3_TIL11	F1 cross	leaf tissue from cross Ki3_TIL11,biological replicate 2	leaf	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081900	SRX711098	1044	745	SRR1586822	SRS709843	GSM1514612	Ki3_TIL14	F1 cross	leaf tissue from cross Ki3_TIL14,biological replicate 1	leaf	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081901	SRX711099	870	595	SRR1586823	SRS709844	GSM1514613	Ki3_TIL14	F1 cross	leaf tissue from cross Ki3_TIL14,biological replicate 1	leaf	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081895	SRX711096	1109	790	SRR1586820	SRS709845	GSM1514610	Ki3_TIL11	F1 cross	leaf tissue from cross Ki3_TIL11,biological replicate 2	leaf	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081736	SRX711101	917	623	SRR1586825	SRS709846	GSM1514615	Mo17_TIL01	F1 cross	leaf tissue from cross Mo17_TIL01,biological replicate 1	leaf	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081733	SRX711100	1078	764	SRR1586824	SRS709847	GSM1514614	Mo17_TIL01	F1 cross	leaf tissue from cross Mo17_TIL01,biological replicate 1	leaf	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081740	SRX711102	1036	744	SRR1586826	SRS709848	GSM1514616	Mo17_TIL01	F1 cross	leaf tissue from cross Mo17_TIL01,biological replicate 2	leaf	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081743	SRX711103	973	669	SRR1586827	SRS709849	GSM1514617	Mo17_TIL01	F1 cross	leaf tissue from cross Mo17_TIL01,biological replicate 2	leaf	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081897	SRX711104	939	685	SRR1586828	SRS709850	GSM1514618	Mo17_TIL09	F1 cross	leaf tissue from cross Mo17_TIL09,biological replicate 1	leaf	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081898	SRX711105	741	562	SRR1586829	SRS709851	GSM1514619	Mo17_TIL09	F1 cross	leaf tissue from cross Mo17_TIL09,biological replicate 1	leaf	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081899	SRX711106	1075	722	SRR1586830	SRS709852	GSM1514620	Mo17_TIL09	F1 cross	leaf tissue from cross Mo17_TIL09,biological replicate 2	leaf	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081746	SRX711107	1082	728	SRR1586831	SRS709853	GSM1514621	Mo17_TIL09	F1 cross	leaf tissue from cross Mo17_TIL09,biological replicate 2	leaf	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081749	SRX711108	937	634	SRR1586832	SRS709854	GSM1514622	Mo17_TIL14	F1 cross	leaf tissue from cross Mo17_TIL14,biological replicate 1	leaf	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081755	SRX711110	1101	788	SRR1586834	SRS709855	GSM1514624	Mo17_TIL14	F1 cross	leaf tissue from cross Mo17_TIL14,biological replicate 2	leaf	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081752	SRX711109	951	644	SRR1586833	SRS709856	GSM1514623	Mo17_TIL14	F1 cross	leaf tissue from cross Mo17_TIL14,biological replicate 1	leaf	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081758	SRX711111	939	643	SRR1586835	SRS709857	GSM1514625	Mo17_TIL14	F1 cross	leaf tissue from cross Mo17_TIL14,biological replicate 2	leaf	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081762	SRX711112	825	596	SRR1586836	SRS709858	GSM1514626	Mo17_TIL25	F1 cross	leaf tissue from cross Mo17_TIL25,biological replicate 1	leaf	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081767	SRX711114	1084	774	SRR1586838	SRS709859	GSM1514628	Mo17_TIL25	F1 cross	leaf tissue from cross Mo17_TIL25,biological replicate 2	leaf	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081770	SRX711115	924	633	SRR1586839	SRS709860	GSM1514629	Mo17_TIL25	F1 cross	leaf tissue from cross Mo17_TIL25,biological replicate 2	leaf	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081765	SRX711113	585	443	SRR1586837	SRS709861	GSM1514627	Mo17_TIL25	F1 cross	leaf tissue from cross Mo17_TIL25,biological replicate 1	leaf	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081773	SRX711116	808	583	SRR1586840	SRS709862	GSM1514630	Oh43_TIL01	F1 cross	leaf tissue from cross Oh43_TIL01,biological replicate 1	leaf	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081776	SRX711117	821	570	SRR1586841	SRS709863	GSM1514631	Oh43_TIL01	F1 cross	leaf tissue from cross Oh43_TIL01,biological replicate 1	leaf	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081782	SRX711119	888	605	SRR1586843	SRS709864	GSM1514633	Oh43_TIL01	F1 cross	leaf tissue from cross Oh43_TIL01,biological replicate 2	leaf	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081786	SRX711120	992	714	SRR1586844	SRS709865	GSM1514634	Oh43_TIL03	F1 cross	leaf tissue from cross Oh43_TIL03,biological replicate 1	leaf	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081779	SRX711118	1043	742	SRR1586842	SRS709866	GSM1514632	Oh43_TIL01	F1 cross	leaf tissue from cross Oh43_TIL01,biological replicate 2	leaf	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
SAMN03081789	SRX711121	945	652	SRR1586845	SRS709867	GSM1514635	Oh43_TIL03	F1 cross	leaf tissue from cross Oh43_TIL03,biological replicate 1	leaf	RNA-Seq	101	PRJNA262181	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-26	Zea mays	ILLUMINA	2014-11-06	SRP047528
